name,dE_f,dE_p,log(abs(dE_f)),log(abs(dE_p))
p[1][MM],0.00000001000000009999482305820484708238782080888356,-0.00000000117587090714962920037418407054505815264873,-7.99999999565728003468254025953854124963982030749321,-8.92964035461189017429950443016650751815177500247955
p[1][GapM],-0.00000002649095325817856656047712674617168973102699,-0.00000000165568460176580675635359028183862718971704,-7.57690241364244292544133374533998903643805533647537,-8.78102239023134392877090181883659170125611126422882
p[1][MX],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[1][XX],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[1][MY],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[1][YY],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[2][MM],0.00000001000000009999482305820484708238782080888356,-0.00000000117587090714962920037418407054505815264873,-7.99999999565728003468254025953854124963982030749321,-8.92964035461189017429950443016650751815177500247955
p[2][GapM],-0.00000002649095325817856656047712674617168973102699,-0.00000000165568460176580675635359028183862718971704,-7.57690241364244292544133374533998903643805533647537,-8.78102239023134392877090181883659170125611126422882
p[2][MX],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[2][XX],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[2][MY],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[2][YY],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[3][MM],0.00000000349108989288249395811135868235587493866126,-0.00000000023420064062936234858960044610693621635825,-8.45703896829260994959936992287907742138486355543137,-9.63041192129859807170844110402185833663679659366608
p[3][GapM],-0.00000002649095325817856656047712674617168973102699,-0.00000000165568460176580675635359028183862718971704,-7.57690241364244292544133374533998903643805533647537,-8.78102239023134392877090181883659170125611126422882
p[3][MX],-0.00000000797311627300431197153269284034826000745044,-0.00000000797311627300431197153269284034826000745044,-8.09837190248685539605694172493599580775480717420578,-8.09837190248685539605694172493599580775480717420578
p[3][XX],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[3][MY],-0.00000000797311627300431197153269284034826000745044,-0.00000000797311627300431197153269284034826000745044,-8.09837190248685539605694172493599580775480717420578,-8.09837190248685539605694172493599580775480717420578
p[3][YY],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
